Time,CPU,Memory,CPU_roll,CPU_slope,Mem_roll,Mem_slope
0.501,26.4,22.5,26.4,0.0,22.5,0.0
1.001,4.0,22.5,15.2,-11.2,22.5,0.0
1.501,1.0,22.5,10.47,-8.467,22.5,0.0
2.001,1.0,22.5,8.1,-6.35,22.5,0.0
2.501,1.0,22.5,6.68,-5.08,22.5,0.0
3.001,1.0,22.5,5.73,-4.233,22.5,0.0
3.501,6.0,22.5,5.77,-2.914,22.5,0.0
4.001,1.0,22.5,5.18,-3.175,22.5,0.0
4.501,3.0,22.5,4.93,-2.6,22.5,0.0
5.001,1.0,22.5,4.54,-2.54,22.5,0.0
5.501,1.0,22.5,4.22,-2.309,22.5,0.0
6.001,1.0,22.5,3.95,-2.117,22.5,0.0
6.501,1.0,22.5,3.72,-1.954,22.5,0.0
7.001,1.0,22.5,3.53,-1.814,22.5,0.0
7.501,1.0,22.5,3.36,-1.693,22.5,0.0
8.001,2.0,22.5,3.28,-1.525,22.5,0.0
8.501,5.1,22.5,3.38,-1.253,22.5,0.0
9.001,1.0,22.5,3.25,-1.411,22.5,0.0
9.501,3.0,22.5,3.24,-1.232,22.5,0.0
10.001,2.0,22.5,3.18,-1.22,22.5,0.0
10.501,1.0,22.5,3.07,-1.21,22.5,0.0
11.001,0.0,22.5,1.81,-0.19,22.5,0.0
11.501,2.0,22.5,1.72,0.048,22.5,0.0
12.001,1.0,22.5,1.72,0.0,22.5,0.0
12.501,1.0,22.5,1.72,0.0,22.5,0.0
13.001,1.0,22.5,1.72,0.0,22.5,0.0
13.501,6.0,22.5,1.96,0.0,22.5,0.0
14.001,1.0,22.5,1.72,0.0,22.5,0.0
14.501,3.0,22.5,1.81,0.0,22.5,0.0
15.001,1.0,22.5,1.72,0.0,22.5,0.0
15.501,1.0,22.5,1.72,0.0,22.5,0.0
16.001,3.0,22.5,1.81,0.095,22.5,0.0
16.501,1.0,22.5,1.81,0.0,22.5,0.0
17.001,2.0,22.5,1.86,0.048,22.5,0.0
17.501,1.0,22.5,1.86,0.0,22.5,0.0
18.001,2.0,22.5,1.91,0.0,22.5,0.0
18.501,6.0,22.5,2.1,0.043,22.5,0.0
19.001,1.0,22.5,1.9,0.0,22.5,0.0
19.501,3.0,22.5,2.0,0.0,22.5,0.0
20.001,1.0,22.5,1.9,-0.048,22.5,0.0
20.501,2.0,22.5,1.9,0.048,22.5,0.0
21.001,2.0,22.5,1.95,0.095,22.5,0.0
21.501,1.0,22.5,2.0,-0.048,22.5,0.0
22.001,2.0,22.5,2.0,0.048,22.5,0.0
22.501,1.0,22.5,2.0,0.0,22.5,0.0
23.001,1.0,22.5,2.0,0.0,22.5,0.0
23.501,5.0,22.6,2.19,-0.048,22.5,0.005
24.001,1.0,22.6,1.95,0.0,22.51,0.005
24.501,3.0,22.6,2.05,0.0,22.51,0.005
25.001,1.0,22.6,1.95,0.0,22.52,0.005
25.501,2.0,22.6,2.0,0.048,22.52,0.005
26.001,3.0,22.6,2.1,0.0,22.53,0.005
26.501,1.0,22.6,2.0,0.0,22.53,0.005
27.001,18.0,22.4,2.81,0.762,22.53,-0.005
27.501,1.0,22.4,2.76,0.0,22.52,-0.005
28.001,1.0,22.4,2.76,-0.048,22.52,-0.005
28.501,6.1,22.4,2.96,0.005,22.51,-0.005
29.001,1.0,22.4,2.72,0.0,22.51,-0.005
29.501,3.0,22.3,2.81,0.0,22.5,-0.01
30.001,2.0,22.3,2.77,0.048,22.49,-0.01
30.501,1.0,22.3,2.77,-0.048,22.48,-0.01
31.001,3.0,22.3,2.81,0.048,22.47,-0.01
31.501,0.0,22.3,2.72,-0.048,22.46,-0.01
32.001,2.0,22.3,2.77,0.0,22.45,-0.01
32.501,1.0,22.3,2.72,0.0,22.44,-0.01
33.001,2.0,22.3,2.77,0.048,22.43,-0.01
33.501,4.0,22.3,2.91,-0.048,22.42,-0.014
34.001,1.0,22.3,2.72,0.0,22.41,-0.014
34.501,4.0,22.3,2.86,0.048,22.4,-0.014
35.001,0.0,22.3,2.72,-0.048,22.38,-0.014
35.501,2.0,22.3,2.77,0.0,22.37,-0.014
36.001,1.0,22.3,2.72,-0.095,22.35,-0.014
36.501,1.0,22.3,2.62,0.0,22.34,-0.014
37.001,0.0,22.3,2.58,-0.857,22.32,-0.005
37.501,2.0,22.3,1.81,0.048,22.32,-0.005
38.001,0.0,22.3,1.77,-0.048,22.31,-0.005
38.501,4.0,22.4,1.91,-0.1,22.31,0.0
39.001,1.0,22.4,1.67,0.0,22.31,0.0
39.501,3.0,22.4,1.76,0.0,22.31,0.005
40.001,1.0,22.4,1.67,-0.048,22.32,0.005
40.501,0.0,22.4,1.57,-0.048,22.32,0.005
41.001,2.0,22.4,1.62,-0.048,22.33,0.005
41.501,1.0,22.4,1.52,0.048,22.33,0.005
42.001,3.0,22.4,1.67,0.048,22.34,0.005
42.501,0.0,22.4,1.57,-0.048,22.34,0.005
43.001,1.0,22.4,1.57,-0.048,22.35,0.005
43.501,6.0,22.4,1.76,0.095,22.35,0.005
44.001,1.0,22.4,1.62,0.0,22.36,0.005
44.501,3.0,22.4,1.71,-0.048,22.36,0.005
45.001,1.0,22.4,1.57,0.048,22.37,0.005
45.501,1.0,22.4,1.62,-0.048,22.37,0.005
46.001,1.0,22.4,1.57,0.0,22.38,0.005
46.501,0.0,22.4,1.52,-0.048,22.38,0.005
47.001,2.0,22.4,1.57,0.095,22.39,0.005
47.501,1.0,22.4,1.62,-0.048,22.39,0.005
48.001,2.0,22.4,1.62,0.095,22.4,0.005
48.501,3.1,22.4,1.77,-0.043,22.4,0.0
49.001,2.0,22.4,1.67,0.048,22.4,0.0
49.501,2.0,22.4,1.72,-0.048,22.4,0.0
50.001,1.0,22.4,1.62,0.0,22.4,0.0
50.501,2.0,22.4,1.67,0.095,22.4,0.0
51.001,0.0,22.4,1.67,-0.095,22.4,0.0
51.501,1.0,22.4,1.62,0.0,22.4,0.0
52.001,2.0,22.4,1.67,-0.048,22.4,0.0
52.501,2.0,22.4,1.62,0.095,22.4,0.0
53.001,0.0,22.4,1.62,-0.048,22.4,0.0
53.501,4.0,22.4,1.77,-0.095,22.4,0.0
54.001,1.0,22.4,1.53,0.0,22.4,0.0
54.501,4.0,22.4,1.67,0.048,22.4,0.0
55.001,1.0,22.4,1.58,0.0,22.4,0.0
55.501,1.0,22.4,1.58,0.0,22.4,0.0
56.001,1.0,22.4,1.58,0.0,22.4,0.0
56.501,2.0,22.4,1.62,0.095,22.4,0.0
57.001,2.0,22.4,1.72,0.0,22.4,0.0
57.501,1.0,22.4,1.67,0.0,22.4,0.0
58.001,1.0,22.4,1.67,-0.048,22.4,0.0
58.501,6.1,22.4,1.87,0.143,22.4,0.0
59.001,1.0,22.4,1.77,-0.048,22.4,0.0
59.501,3.0,22.4,1.81,0.048,22.4,0.0
60.001,2.0,22.4,1.81,0.048,22.4,0.0
